Info:,,,True Turnout,,"159,544,854",Number of voters used,"160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Dem Senator,Rep Senator,Number of Voters,Electoral Votes,Number of Districts,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP
Alabama,Doug Jones,Tommy Tuberville,2331,9,7,1,330,James Averhart,Jerry Carl,0.355,0.643,2,304,Phyllis Harvey-Hall,Barry Moore,0.346,0.652,3,323,Adia Winfrey,Mike Rogers,0.324,0.674,4,318,Rick Neighbors,Robert Aderholt,0.176,0.822,5,264,NONE,Mo Brooks,0,0.958,6,283,NONE,Gary Palmer,0,0.971,7,232,Terri A. Sewell,NONE,0.971,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Al Gross,Dan Sullivan,362,3,1,1,354,Alyse S. Galvin,Din Young,0.452,0.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Mark Kelley,Martha McSally,3430,11,9,1,366,Tom O'Halleran,Tiffany Shedd,0.516,0.483,2,382,Ann Kirkpatrick,Brandon Martin,0.551,0.448,3,270,Raul Grijalva,Daniel Wood,0.645,0.354,4,399,Delina DiSanto,Paul Gosar,0.302,0.697,5,446,Joan Greene,Andy Biggs,0.411,0.588,6,418,Hiral Tipirneni,David Schweikert,0.478,0.521,7,216,Ruben Gallego,Joshua Barnett,0.776,0.232,8,423,Michael Muscato,Debbie Lesko,0.404,0.595,9,353,Greg Stanton,Dave Giles,0.616,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Ricky Dale Harrington Jr.,Tom Crawford,1227,6,4,1,238,NONE,Rick Crawford,0,1,2,333,Joyce Elliot,French Hill,0.446,0.553,3,334,Celeste Williams,Steve Womack,0.318,0.643,4,275,William H. Hanson,Bruce Westerman,0.275,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,NONE,NONE,17840,55,53,1,359,Audrey Denney,Doug LaMalfa,0.43,0.57,2,389,Jared Huffman,Dale Mensing,0.757,0.243,3,322,John Garamendi,Tamika Hamilton,0.547,0.453,4,443,Brynne Kenedy,Tom McClintock,0.441,0.559,5,330,Mike Thompson,Scott Giblin,0.761,0.239,6,314,Doris Matsui,Chris Bish,0.733,0.267,7,385,Ami Bera,Buzz Patterson,0.566,0.434,8,283,Christine Bubser,Jay Obernolte,0.439,0.561,9,303,Jerry McNerney,Tom Ambador,0.576,0.424,10,303,Josh Harder,Ted Howze,0.552,0.448,11,372,Mark DeSaulnier,Nisha Sharma,0.73,0.27,12,363,Nancy Pelosi,Shahid Buttar,0.776,0.224,13,363,Barbara Lee,Nikka Piterman,0.904,0.096,14,351,Jackie Speier,Ran Petel,0.793,0.207,15,343,Eric Swalwell,Alison Hayden,0.709,0.291,16,217,Jim Costa,Kevin Cookingham,0.594,0.406,17,298,Ro Khanna,Ritesh Tandon,0.713,0.287,18,345,Ana Eshoo,Rishi Kumar,0.632,0.368,19,313,Zoe Lofgren,Justin Aguilera,0.717,0.283,20,309,Jimmy Panetta,Jeff Gorman,0.768,0.232,21,170,TJ Cox,David Valadao,0.496,0.504,22,316,Phil Arballo,Devin Nunes,0.542,0.458,23,306,Kim Mangone,Kevin McCarthy,0.379,0.621,24,363,Salud Carbajal,Andy Cadwell,0.587,0.413,25,363,Chisty Smith,Mike Garcia,0.5,0.5,26,345,Julia Brownley,Ronda Baldwin-Kennedy,0.606,0.394,27,318,Judy Chu,Johnny Nalbandian,0.698,0.302,28,337,Adam Schiff,Eric Early,0.727,0.273,29,211,Tony Cardenas,Angelica Duenas,0.566,0.434,30,346,Brad Sherman,Mark Reed,0.695,0.305,31,286,Pete Aguilar,Agnes Gibboney,0.613,0.387,32,260,Grace Napolitano,Joshua Scott,0.666,0.334,33,381,Ted Lieu,James Bradley,0.676,0.324,34,205,Jimmy Gomez,NONE,1,0,35,245,Norma Torres,Mike Cargile,0.693,0.307,36,307,Raaul Ruiz,Erin Cruz,0.603,0.397,37,297,Karen Bass,Erol Webber,0.859,0.141,38,256,Linda Sanchez,Michael Tolar,0.743,0.257,39,344,Gil Cinseros,Young Kim,0.494,0.506,40,186,Lucille Roybal-Allard,C Antonio Delegado,0.727,0.273,41,262,Mark Takano,Aja Smith,0.64,0.36,42,368,William O'Mara,Ken Calvert,0.429,0.571,43,278,Maxine Waters,Joe Collins,0.717,0.283,44,206,Nanette Barragan,Analilia Joya,0.678,0.322,45,416,Katie Porter,Greg Raths,0.535,0.465,46,230,Lou Correa,James Waters,0.688,0.312,47,312,Alan Lowenthal,John Briscoe,0.633,0.367,48,396,Harley Rouda,Michelle Steel,0.489,0.511,49,387,Mike Levin,Brian Maryott,0.531,0.469,50,363,Darrell Isa,Ammar Campa-Majjar,0.46,0.54,51,243,Juan Vargas,Juan Hialgo,0.683,0.317,52,397,Scott Peters,Jim DaBello,0.616,0.384,53,335,Sara Jacobs,Georgette Gomez,0.595,0.405
Colorado,John W. Hickenlooper,Cory Gardner,3305,9,7,1,451,Diana DeGette,Shane Bolling,0.736,0.235,2,517,Joe Neguse,Charline Winn,0.614,0.354,3,430,Diane E. Mitsch Bush,Lauren Boebert,0.452,0.513,4,476,Ike McCorkle,Ken Buck,0.366,0.601,5,433,Jillian Freelan,Doug Lamborn,0.373,0.575,6,439,Jason Crow,Steve House,0.571,0.399,7,424,Ed Perlmutter,Charles Stockham,0.591,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,NONE,NONE,1866,7,5,1,350,John B. Larson,Mary Fay,0.609,0.349,2,368,Joe Courtney,Justin Anderson,0.564,0.382,3,347,Rosa L. DeLauro,Margaret Streicker,0.561,0.38,4,361,Jim Himes,Jonathan Riddle,0.621,0.362,5,350,Jahana Hayes,David X. Sullivan,0.525,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Christopher A. Coons,Lauren Witzke,510,3,1,1,160,Lisa Blunt Rochester,Lee Murphy,0.576,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,NONE,NONE,11176,29,27,1,439,Phil Her,Matt Gaetz,0.34,0.646,2,312,NONE,Neal Dunn,0,0.979,3,391,Adam Christensen,Kat Cammack,0.429,0.571,4,506,Donna Deegan,John H. Rutherford,0.389,0.611,5,337,Al Lawson,Gary Adler,0.651,0.349,6,438,Clint Curtis,Michael Waltz,0.394,0.606,7,407,Stephanie Murphy,Leo Valentin,0.553,0.432,8,461,Jim Kennedy,Bill Posey,0.386,0.614,9,430,Darren Soto,William Olson,0.56,0.44,10,377,Val Demings,Vennia Francois,0.636,0.364,11,476,Dana Cottrell,Daniel Webster,0.33,0.667,12,554,Kimberly Walker,Gus Bilirakis,0.371,0.629,13,407,Charlie Crist,Anna Luna,0.53,0.47,14,391,Alan Cohn,Scott Franklin,0.446,0.554,15,373,Kathy Castor,Christine Quinn,0.603,0.397,16,486,Margaret Good,Vern Buchanan,0.445,0.555,17,413,Allen Ellison,Greg Steube,0.341,0.646,18,451,Pam Keith,Brian Mast,0.415,0.563,19,445,Cindy Banyai,Bryon Donalds,0.387,0.613,20,323,Alcee Hastings,Greg Musselwhite,0.787,0.213,21,404,Lois Frankel,Laura Loomer,0.59,0.391,22,403,Ted Deutch,James Pruden,0.586,0.414,23,381,Debbie Wasserman Schultz,Carla Spalding,0.582,0.418,24,290,Frederica Wilson,Lavern Spicer,0.756,0.204,25,288,NONE,Mario-Balart,0,1,26,343,Debbie Mucarsel-Powel,Carlos Gimenez,0.483,0.517,27,343,Donna Shalala,Maria Elvira Salazar,0.486,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Jon Ossoff ,David Perdue,5014,16,14,1,325,Joyce Griggs,Buddy Carter,0.417,0.5813,2,273,Sanford Bishop,Ron Cole,0.591,0.409,3,372,Val Almonord,Drew Ferguson,0.35,0.65,4,349,Hank Johnson,Johsie Ezammudeen,0.801,0.199,5,355,Nikema Williams,Angela Stanton-King,0.851,0.149,6,398,Lucy McBath,Karen Handel,0.546,0.454,7,372,Carolyn Bourdeaux,Rich McCormick,0.514,0.486,8,308,Lindsay Holliday,Austin Scott,0.355,0.645,9,373,Devin Pandy,Andrew Clyde,0.214,0.786,10,379,Tabitha Johnson-Green,Jody Hice,0.377,0.623,11,407,Dana Barrett,Barry Loudermilk,0.396,0.604,12,310,Liz Johnson,Rick Allen,0.416,0.584,13,361,David Scott,Becky Hites,0.774,0.226,14,308,Kevin Van Ausdal,Marjorie Greene,0.253,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
